id,source,my_model,google,bleu_vs_google,quality
1,"According to the news report, the product launch will take place next October.",Laut News Report wird der Produktstart im Oktober 2011 stattfinden.,Dem Nachrichtenbericht zufolge soll die Produkteinführung im kommenden Oktober erfolgen.,4.9323515694897075,Ужасно (0-20)
2,The Lakers won the championship after a dramatic victory.,Die Lakers gewannen die Meisterschaft nach einem dramatischen Sieg.,Die Lakers gewannen nach einem dramatischen Sieg die Meisterschaft.,43.47208719449915,Средне (40-60)
3,The slight weather forced the cancellation of 5 flights.,Das milde Wetter zwang die Annullierung von 5 Flügen.,Das leichte Wetter zwang zur Annullierung von 5 Flügen.,46.713797772819994,Средне (40-60)
4,Scientists have discovered a new insect in the Amazon rainforest.,Wissenschaftler haben im Amazonas-Regenwald ein neues Insekt entdeckt.,Wissenschaftler haben im Amazonas-Regenwald ein neues Insekt entdeckt.,100.00000000000004,
5,Scientists have discovered a new insect in the Amazon rainforest.,Wissenschaftler haben im Amazonas-Regenwald ein neues Insekt entdeckt.,Wissenschaftler haben im Amazonas-Regenwald ein neues Insekt entdeckt.,100.00000000000004,
6,Scientists have discovered a new plant in the Amazon rainforest.,Wissenschaftler haben eine neue Pflanze im Amazonas-Regenwald entdeckt.,Wissenschaftler haben im Amazonas-Regenwald eine neue Pflanze entdeckt.,29.36974547349609,Плохо (20-40)
7,I need to submit the plant before the meeting starts.,Ich muss die Anlage vor dem Meeting einreichen.,Ich muss die Anlage vor Beginn des Treffens einreichen.,45.93613320783059,Средне (40-60)
8,Scientists have discovered a new plant in the Amazon rainforest.,Wissenschaftler haben eine neue Pflanze im Amazonas-Regenwald entdeckt.,Wissenschaftler haben im Amazonas-Regenwald eine neue Pflanze entdeckt.,29.36974547349609,Плохо (20-40)
9,Scientists have discovered a new fossil in the Amazon rainforest.,Wissenschaftler haben im Amazonas-Regenwald ein neues Fossil entdeckt.,Wissenschaftler haben im Amazonas-Regenwald ein neues Fossil entdeckt.,100.00000000000004,
10,Scientists have discovered a new plant in the Amazon rainforest.,Wissenschaftler haben eine neue Pflanze im Amazonas-Regenwald entdeckt.,Wissenschaftler haben im Amazonas-Regenwald eine neue Pflanze entdeckt.,29.36974547349609,Плохо (20-40)
11,I need to review the insect before the meeting starts.,"Ich muss das Insekt überprüfen, bevor das Meeting anfängt.","Ich muss das Insekt überprüfen, bevor das Treffen beginnt.",69.89307622784945,Хорошо (60-80)
12,The patient was diagnosed with a rare genetic mutation.,Der Patient wurde mit einer seltenen genetischen Mutation diagnostiziert.,Bei dem Patienten wurde eine seltene genetische Mutation diagnostiziert.,16.784459625186194,Ужасно (0-20)
13,Scientists have discovered a new insect in the Amazon rainforest.,Wissenschaftler haben im Amazonas-Regenwald ein neues Insekt entdeckt.,Wissenschaftler haben im Amazonas-Regenwald ein neues Insekt entdeckt.,100.00000000000004,
14,"According to the research paper, the conference will take place next May.",Laut Research Paper wird die Konferenz im Mai 2011 stattfinden.,Dem Forschungspapier zufolge soll die Konferenz im kommenden Mai stattfinden.,18.36028134946796,Ужасно (0-20)
15,The patient was diagnosed with a rare genetic mutation.,Der Patient wurde mit einer seltenen genetischen Mutation diagnostiziert.,Bei dem Patienten wurde eine seltene genetische Mutation diagnostiziert.,16.784459625186194,Ужасно (0-20)
16,The unexpected weather forced the cancellation of 6 flights.,Das unerwartete Wetter zwang die Annullierung von 6 Flügen.,Das unerwartete Wetter zwang zur Annullierung von 6 Flügen.,65.80370064762461,Хорошо (60-80)
17,The national team won the championship after a unexpected victory.,Die Nationalmannschaft gewann die Meisterschaft nach einem unerwarteten Sieg.,Die Nationalmannschaft gewann die Meisterschaft nach einem unerwarteten Sieg.,100.00000000000004,
18,The patient was diagnosed with a rare autoimmune disorder.,Bei dem Patienten wurde eine seltene Autoimmunstörung diagnostiziert.,Bei dem Patienten wurde eine seltene Autoimmunerkrankung diagnostiziert.,66.06328636027612,Хорошо (60-80)
19,"According to the ministry, the conference will take place next October.",Laut Ministerium wird die Konferenz im Oktober 2011 stattfinden.,Nach Angaben des Ministeriums soll die Konferenz im kommenden Oktober stattfinden.,16.830386789031852,Ужасно (0-20)
20,Please send me the report by tomorrow at 2 PM.,Bitte senden Sie mir den Bericht bis morgen um 14 Uhr.,Bitte senden Sie mir den Bericht bis morgen um 14 Uhr zu.,84.96364166597652,Отлично (80-100)
