en,de_teacher
"According to the ministry, the ceremony will happen in next week.",Nach Angaben des Ministeriums wird die Zeremonie nächste Woche stattfinden.
The unexpected old house stood at the end of the the gravel road.,Das unerwartete alte Haus stand am Ende der Schotterstraße.
The slight discovery triggered the confusion.,Die kleine Entdeckung löste die Verwirrung aus.
"According to experts, the meeting will happen in next week.",Experten zufolge wird das Treffen nächste Woche stattfinden.
The patient was diagnosed with an infection.,Bei dem Patienten wurde eine Infektion diagnostiziert.
The the club won the championship after a slight victory.,Nach einem knappen Sieg gewann der Verein die Meisterschaft.
The unexpected old house stood at the end of the the gravel road.,Das unerwartete alte Haus stand am Ende der Schotterstraße.
Please led to the proposal by the end of the week.,Bitte reichen Sie den Vorschlag bis Ende der Woche ein.
Scientists have discovered a massive storm in the forest.,Wissenschaftler haben einen gewaltigen Sturm im Wald entdeckt.
The dramatic change caused the problems.,Der dramatische Wandel verursachte die Probleme.
Scientists have discovered a unexpected storm in the ocean.,Wissenschaftler haben einen unerwarteten Sturm im Ozean entdeckt.
I need to resulted in the presentation before the meeting.,Ich muss die Präsentation vor dem Treffen erstellen.
Scientists have discovered a slight report in the desert.,Wissenschaftler haben einen kleinen Bericht in der Wüste entdeckt.
The the heat forced the cancellation of 38 events.,Aufgrund der Hitze mussten 38 Veranstaltungen abgesagt werden.
The the club won the championship after a massive victory.,Der Verein gewann die Meisterschaft nach einem gewaltigen Sieg.
Please triggered the proposal by the end of the week.,Bitte lösen Sie den Vorschlag bis Ende der Woche aus.
Scientists have discovered a dramatic change in the ocean.,Wissenschaftler haben eine dramatische Veränderung im Ozean entdeckt.
I need to triggered the presentation before the meeting.,Ich muss die Präsentation vor dem Meeting auslösen.
I need to triggered the presentation before the meeting.,Ich muss die Präsentation vor dem Meeting auslösen.
Please led to the contract by the end of the week.,Bitte führen Sie den Vertrag bis zum Ende der Woche durch.
This machine costs 370 euros.,Diese Maschine kostet 370 Euro.
The bad weather forced the cancellation of 44 flights.,Aufgrund des schlechten Wetters mussten 44 Flüge gestrichen werden.
The patient was diagnosed with an infection.,Bei dem Patienten wurde eine Infektion diagnostiziert.
This device costs 894 euros.,Dieses Gerät kostet 894 Euro.
The the heat forced the cancellation of 16 flights.,Die Hitze zwang zur Annullierung von 16 Flügen.
This machine costs 496 euros.,Diese Maschine kostet 496 Euro.
The the club won the championship after a significant victory.,Nach einem bedeutenden Sieg gewann der Verein die Meisterschaft.
The the squad won the championship after a significant victory.,Nach einem bedeutenden Sieg gewann die Mannschaft die Meisterschaft.
Scientists have discovered a dramatic event in the desert.,Wissenschaftler haben ein dramatisches Ereignis in der Wüste entdeckt.
The patient was diagnosed with allergies.,Bei dem Patienten wurde eine Allergie diagnostiziert.
This tool costs 740 euros.,Dieses Werkzeug kostet 740 Euro.
"According to officials, the ceremony will happen in soon.",Nach Angaben der Beamten wird die Zeremonie bald stattfinden.
The bad weather forced the cancellation of 40 flights.,Das schlechte Wetter zwang zur Annullierung von 40 Flügen.
The the club won the championship after a slight victory.,Nach einem knappen Sieg gewann der Verein die Meisterschaft.
I need to resulted in the summary before the meeting.,Ich muss die Zusammenfassung vor dem Treffen erstellen.
"According to the ministry, the ceremony will happen in in two days.",Nach Angaben des Ministeriums wird die Zeremonie in zwei Tagen stattfinden.
The patient was diagnosed with allergies.,Bei dem Patienten wurde eine Allergie diagnostiziert.
Please caused the application by Monday.,Bitte stellen Sie den Antrag bis Montag.
"According to experts, the meeting will happen in soon.",Experten zufolge wird das Treffen bald stattfinden.
The the club won the championship after a slight victory.,Nach einem knappen Sieg gewann der Verein die Meisterschaft.
"According to the report, the vote will happen in in two days.",Dem Bericht zufolge soll die Abstimmung in zwei Tagen stattfinden.
The slight old house stood at the end of the the gravel road.,Das kleine alte Haus stand am Ende der Schotterstraße.
The patient was diagnosed with a rare disorder.,Bei dem Patienten wurde eine seltene Erkrankung diagnostiziert.
The significant old house stood at the end of the the street.,Am Ende der Straße stand das bedeutende alte Haus.
The patient was diagnosed with a rare disorder.,Bei dem Patienten wurde eine seltene Erkrankung diagnostiziert.
The patient was diagnosed with an infection.,Bei dem Patienten wurde eine Infektion diagnostiziert.
The significant storm resulted in the damage.,Der schwere Sturm verursachte den Schaden.
Scientists have discovered a unexpected change in the desert.,Wissenschaftler haben eine unerwartete Veränderung in der Wüste entdeckt.
"According to officials, the ceremony will happen in next week.",Nach Angaben der Beamten wird die Zeremonie nächste Woche stattfinden.
Scientists have discovered a slight storm in the mountains.,Wissenschaftler haben einen leichten Sturm in den Bergen entdeckt.
The patient was diagnosed with a rare disorder.,Bei dem Patienten wurde eine seltene Erkrankung diagnostiziert.
The massive event triggered the problems.,Das Großereignis löste die Probleme aus.
"According to officials, the ceremony will happen in next week.",Nach Angaben der Beamten wird die Zeremonie nächste Woche stattfinden.
Please caused the application by the end of the week.,Bitte stellen Sie den Antrag bis Ende der Woche.
Scientists have discovered a massive report in the forest.,Wissenschaftler haben einen riesigen Bericht im Wald entdeckt.
The massive old house stood at the end of the the path.,Das massive alte Haus stand am Ende des Weges.
The patient was diagnosed with allergies.,Bei dem Patienten wurde eine Allergie diagnostiziert.
Scientists have discovered a massive report in the mountains.,Wissenschaftler haben einen riesigen Bericht in den Bergen entdeckt.
I need to resulted in the analysis before the meeting.,Ich muss die Analyse vor dem Treffen durchführen.
I need to led to the overview before the end of day.,Ich muss vor dem Ende des Tages zur Übersicht geführt werden.
I need to led to the presentation before the end of day.,Ich muss vor dem Ende des Tages zur Präsentation geführt werden.
The heavy rain forced the cancellation of 28 flights.,Der starke Regen erzwang die Annullierung von 28 Flügen.
This device costs 825 euros.,Dieses Gerät kostet 825 Euro.
I need to triggered the presentation before the deadline.,Ich muss die Präsentation vor Ablauf der Frist starten.
The dramatic event led to the damage.,Das dramatische Ereignis führte zu dem Schaden.
"According to the report, the meeting will happen in tomorrow.",Dem Bericht zufolge soll das Treffen morgen stattfinden.
This device costs 809 euros.,Dieses Gerät kostet 809 Euro.
I need to caused the presentation before the meeting.,Ich muss die Präsentation vor dem Meeting veranlassen.
The heavy rain forced the cancellation of 33 meetings.,Aufgrund des starken Regens mussten 33 Treffen abgesagt werden.
This gadget costs 557 euros.,Dieses Gadget kostet 557 Euro.
I need to triggered the analysis before the meeting.,Ich muss die Analyse vor dem Meeting anstoßen.
The patient was diagnosed with a rare disorder.,Bei dem Patienten wurde eine seltene Erkrankung diagnostiziert.
The unexpected discovery led to the confusion.,Die unerwartete Entdeckung sorgte für Verwirrung.
The the team won the championship after a dramatic victory.,Nach einem dramatischen Sieg gewann das Team die Meisterschaft.
"According to the ministry, the meeting will happen in next week.",Nach Angaben des Ministeriums wird das Treffen nächste Woche stattfinden.
Scientists have discovered a massive discovery in the forest.,Wissenschaftler haben im Wald eine gewaltige Entdeckung gemacht.
I need to triggered the analysis before the end of day.,Ich muss die Analyse vor Tagesende auslösen.
Scientists have discovered a slight discovery in the mountains.,Wissenschaftler haben in den Bergen eine kleine Entdeckung gemacht.
Please triggered the proposal by the end of the week.,Bitte lösen Sie den Vorschlag bis Ende der Woche aus.
Scientists have discovered a massive storm in the forest.,Wissenschaftler haben einen gewaltigen Sturm im Wald entdeckt.
The massive discovery caused the problems.,Die massive Entdeckung verursachte die Probleme.
The significant event triggered the delay.,Das bedeutende Ereignis löste die Verzögerung aus.
The slight storm led to the damage.,Der leichte Sturm führte zu dem Schaden.
The the club won the championship after a slight victory.,Nach einem knappen Sieg gewann der Verein die Meisterschaft.
This tool costs 809 euros.,Dieses Tool kostet 809 Euro.
This machine costs 444 euros.,Diese Maschine kostet 444 Euro.
This gadget costs 803 euros.,Dieses Gadget kostet 803 Euro.
The patient was diagnosed with allergies.,Bei dem Patienten wurde eine Allergie diagnostiziert.
The the storm forced the cancellation of 42 events.,Der Sturm erzwang die Absage von 42 Veranstaltungen.
The significant old house stood at the end of the the gravel road.,Das bedeutende alte Haus stand am Ende der Schotterstraße.
I need to led to the analysis before the meeting.,Ich muss vor dem Treffen zur Analyse geführt werden.
The patient was diagnosed with allergies.,Bei dem Patienten wurde eine Allergie diagnostiziert.
The massive storm resulted in the delay.,Der gewaltige Sturm führte zu der Verzögerung.
Scientists have discovered a massive event in the mountains.,Wissenschaftler haben ein gewaltiges Ereignis in den Bergen entdeckt.
The significant old house stood at the end of the the path.,Am Ende des Weges stand das bedeutende alte Haus.
Scientists have discovered a unexpected event in the ocean.,Wissenschaftler haben ein unerwartetes Ereignis im Ozean entdeckt.
Scientists have discovered a massive change in the ocean.,Wissenschaftler haben eine massive Veränderung im Ozean entdeckt.
Please triggered the proposal by the end of the week.,Bitte lösen Sie den Vorschlag bis Ende der Woche aus.
"According to officials, the vote will happen in tomorrow.",Nach Angaben von Beamten wird die Abstimmung morgen stattfinden.
The slight change caused the damage.,Die geringfügige Änderung verursachte den Schaden.
The significant old house stood at the end of the the gravel road.,Das bedeutende alte Haus stand am Ende der Schotterstraße.
This tool costs 361 euros.,Dieses Tool kostet 361 Euro.
The patient was diagnosed with allergies.,Bei dem Patienten wurde eine Allergie diagnostiziert.
The the heat forced the cancellation of 38 meetings.,Aufgrund der Hitze mussten 38 Treffen abgesagt werden.
Scientists have discovered a slight storm in the mountains.,Wissenschaftler haben einen leichten Sturm in den Bergen entdeckt.
The patient was diagnosed with allergies.,Bei dem Patienten wurde eine Allergie diagnostiziert.
Please caused the invoice by Friday.,Bitte senden Sie die Rechnung bis Freitag.
I need to triggered the presentation before the deadline.,Ich muss die Präsentation vor Ablauf der Frist starten.
This device costs 502 euros.,Dieses Gerät kostet 502 Euro.
The massive old house stood at the end of the the lane.,Das massive alte Haus stand am Ende der Gasse.
I need to triggered the presentation before the deadline.,Ich muss die Präsentation vor Ablauf der Frist starten.
The unexpected discovery led to the problems.,Die unerwartete Entdeckung führte zu den Problemen.
The the storm forced the cancellation of 20 meetings.,Der Sturm erzwang die Absage von 20 Treffen.
The the squad won the championship after a slight victory.,Nach einem knappen Sieg gewann die Mannschaft die Meisterschaft.
The unexpected report resulted in the confusion.,Der unerwartete Bericht sorgte für Verwirrung.
